epoch,train_loss,train_ce,train_mse,val_accuracy,val_macro_f1,val_mae,val_pearson
1,1.14201,0.95026,0.3835,0.5948,0.5828,0.6503,0.6144
2,0.93224,0.78231,0.29987,0.5934,0.5734,0.6454,0.6095
3,0.83055,0.70005,0.26101,0.5838,0.5777,0.6317,0.6032
4,0.72156,0.61018,0.22275,0.5646,0.5602,0.6299,0.598
5,0.61701,0.5173,0.19943,0.5728,0.5623,0.6291,0.5927
6,0.5159,0.4214,0.18899,0.5742,0.5398,0.6671,0.5824
7,0.41296,0.32857,0.16878,0.5371,0.5351,0.6422,0.5745
8,0.31402,0.24096,0.14613,0.5659,0.5448,0.6503,0.5718
9,0.26195,0.19031,0.14327,0.5632,0.5536,0.6477,0.5679
