epoch,train_loss,kd,ce,huber,val_accuracy,val_macro_f1,val_mae,val_pearson
1,0.42161,0.10872,0.94406,0.41528,0.6236,0.6147,0.6167,0.6095
2,0.32687,0.05026,0.82661,0.29141,0.6168,0.5975,0.6367,0.6015
3,0.30705,0.04251,0.78744,0.27375,0.6003,0.5946,0.5927,0.6407
4,0.29451,0.0421,0.75717,0.25258,0.5962,0.5938,0.5967,0.6335
5,0.28266,0.04416,0.72226,0.2338,0.6044,0.6006,0.612,0.6264
6,0.27476,0.0463,0.69785,0.21997,0.6126,0.598,0.6172,0.618
7,0.26929,0.04811,0.68327,0.20421,0.603,0.5945,0.6264,0.6086
8,0.26884,0.051,0.68127,0.19176,0.592,0.5855,0.62,0.5974
9,0.25969,0.0545,0.64863,0.17968,0.6113,0.6013,0.6402,0.5913
